id	org	files	has_meta	has_r	usable
GSE138646	Homo sapiens; Mus musculus	BEDGRAPH, FPKM_TRACKING, WIG	no	no	no
GSE146137	Mus musculus; Homo sapiens	TXT	no	no	no
GSE144477	Homo sapiens	CSV	no	no	no
GSE141982	Homo sapiens	MTX, TSV	no	no	no
GSE139533	Homo sapiens	TAB	no	no	no
GSE135394	Mus musculus; Homo sapiens	FPKM_TRACKING	no	no	no
GSE118412	Homo sapiens	CSV	no	no	no
GSE146123	Homo sapiens; Mus musculus	TXT	no	no	no
GSE145894	Homo sapiens	TXT	no	no	no
GSE133449	Homo sapiens	TXT	no	no	no
GSE145815	Homo sapiens	TSV	yes	no	yes
GSE142213	Homo sapiens; Mus musculus	TAR	no	no	no
GSE137659	Homo sapiens	MTX, TSV, TXT	no	no	no
GSE139161	Homo sapiens	TXT	no	no	no
GSE137869	Homo sapiens; Rattus norvegicus	MTX, TSV, TXT	no	no	no
GSE123837	Homo sapiens	TXT	no	no	no
GSE121179	Homo sapiens	TSV	no	no	no
GSE128956	Homo sapiens	XLSX	no	no	no
GSE124742	Homo sapiens	TAB	no	no	no
GSE115032	Homo sapiens	TXT	no	no	no
GSE142449	Homo sapiens	TSV	no	no	no
GSE137010	Homo sapiens	MTX, TSV	no	no	no
GSE133345	Homo sapiens	TXT	no	no	no
GSE145281	Homo sapiens	TXT	no	no	no
GSE130025	Homo sapiens	BED, MTX, TSV, TXT, XLSX	no	no	no
GSE130024	Homo sapiens	MTX, TSV	no	no	no
GSE130023	Homo sapiens	TXT	no	no	no
GSE130022	Homo sapiens	TXT	no	no	no
GSE130021	Homo sapiens	TXT	no	no	no
GSE130020	Homo sapiens	TXT	no	no	no
GSE130019	Homo sapiens	TXT	no	no	no
GSE124992	Homo sapiens	CSV	no	no	no
GSE124822	Mus musculus; Homo sapiens	CSV, TXT	no	no	no
GSE138474	Homo sapiens	TAR	no	no	no
GSE138418	Homo sapiens	TSV	no	no	no
GSE138267	Homo sapiens	TAR	no	no	no
GSE130105	Homo sapiens	CSV, TXT	no	no	no
GSE129762	Homo sapiens	TXT	no	no	no
GSE134355	Mus musculus; Homo sapiens	TXT	no	no	no
GSE131434	Homo sapiens	MTX, TSV	no	no	no
GSE144908	Homo sapiens	XLSX	no	no	no
GSE144495	Homo sapiens	XLS	no	no	no
GSE144494	Homo sapiens	XLS	no	no	no
GSE143624	Homo sapiens	XLSX	no	no	no
GSE140312	Homo sapiens	TAR	no	no	no
GSE130977	Homo sapiens	TXT	no	no	no
GSE144434	Homo sapiens	CSV, TSV	no	no	no
GSE132771	Homo sapiens; Mus musculus	MTX, TSV	no	no	no
GSE132509	Homo sapiens	MTX, TSV	no	no	no
GSE127898	Macaca mulatta; Pan troglodytes; Pan paniscus; Homo sapiens	CSV	no	no	no
GSE127774	Pan paniscus; Macaca mulatta; Pan troglodytes; Homo sapiens	FA, GTF, MTX, RDS, TSV, TXT	no	yes	yes
GSE144430	Homo sapiens	MTX, TSV	no	no	no
GSE144357	Homo sapiens	CSV, TXT, XLSX	yes	no	yes
GSE138536	Homo sapiens	TXT	yes	no	yes
GSE130664	Macaca fascicularis; Homo sapiens	TXT	no	no	no
GSE138838	Homo sapiens	TXT	no	no	no
GSE144216	Homo sapiens	CSV, XLSX	no	no	no
GSE144191	Homo sapiens	RDS	no	yes	yes
GSE139829	Homo sapiens	MTX, TSV	no	no	no
GSE137316	Homo sapiens	BED	no	no	no
GSE135663	Homo sapiens	TSV	no	no	no
GSE135193	Homo sapiens	XLSX	no	no	no
GSE115501	Homo sapiens	TXT	no	no	no
GSE125839	Homo sapiens	MTX	no	no	no
GSE125838	Homo sapiens	MTX, TSV	no	no	no
GSE125837	Homo sapiens	TXT	no	no	no
GSE125372	Mus musculus; Homo sapiens	TSV	no	no	no
GSE135133	Homo sapiens	TXT	no	no	no
GSE135092	Homo sapiens	TSV	no	no	no
GSE128357	Homo sapiens	CSV, H5, TAR, TXT	no	no	no
GSE110680	Homo sapiens	CSV	no	no	no
GSE137912	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE128671	Homo sapiens; Mus musculus	BW, MTX, TSV, TXT	no	no	no
GSE112271	Homo sapiens	MTX, TSV	no	no	no
GSE130646	Homo sapiens	CSV	no	no	no
GSE143669	Homo sapiens	TXT	no	no	no
GSE143607	Homo sapiens	MTX, RDS, TSV	no	yes	yes
GSE138892	Homo sapiens	MTX, TSV	no	no	no
GSE123904	Homo sapiens	CSV	no	no	no
GSE123903	Homo sapiens	CSV	no	no	no
GSE123902	Homo sapiens	CSV, RTF	no	no	no
GSE141299	Homo sapiens	TXT	no	no	no
GSE140405	Homo sapiens	H5	no	no	no
GSE138693	Homo sapiens	TXT	no	no	no
GSE134144	Homo sapiens	TXT	no	no	no
GSE131604	Homo sapiens	BW, TXT	no	no	no
GSE111822	Homo sapiens	CSV	no	no	no
GSE111672	Homo sapiens	JPG, RTF, TSV, TXT	no	no	no
GSE137833	Homo sapiens	GFF3, XLSX	no	no	no
GSE143423	Homo sapiens	CSV	yes	no	yes
GSE143353	Homo sapiens	CSV	no	no	no
