id	org	files	has_meta	tar_meta	has_r	usable	year	month	day	journal	link
GSE151229	Mus musculus	CSV, XLSX	no	error_parse	no	no	2020	May	26	Cell Rep	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151229//suppl/filelist.txt
GSE148866	Mus musculus	TXT	yes	error_parse	no	yes	2020	Apr	17	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148866//suppl/filelist.txt
GSE136610	Homo sapiens	TXT	no	no	no	no	2019	Aug	29	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136610//suppl/filelist.txt
GSE155850	Homo sapiens	MTX, TSV	no	error_parse	no	no	2020	Aug	06	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155850//suppl/filelist.txt
GSE137818	Mus musculus	CSV	no	error_parse	no	no	2019	Sep	22	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137818//suppl/filelist.txt
GSE152841	Mus musculus	TXT	no	error_parse	no	no	2020	Jun	19	J. Immunol.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152841//suppl/filelist.txt
GSE124885	Homo sapiens	CSV	no	error_parse	no	no	2019	Jan	09	Mucosal Immunol	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124885//suppl/filelist.txt
GSE156790	Homo sapiens	TXT	no	error_parse	no	no	2020	Aug	24	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156790//suppl/filelist.txt
GSE156776	Homo sapiens	MTX, TSV, TXT	no	no	no	no	2020	Aug	24	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156776//suppl/filelist.txt
GSE156735	Homo sapiens	BROADPEAK	no	no	no	no	2020	Aug	24	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156735//suppl/filelist.txt
GSE156734	Homo sapiens	BED, CSV	no	error_parse	no	no	2020	Aug	24	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156734//suppl/filelist.txt
