id	org	files	has_meta	has_r	usable
GSE133233	Mus musculus	CSV, MTX, TAB, TSV	yes	no	yes
GSE133232	Mus musculus	TAB	no	no	no
GSE147203	Homo sapiens; Mus musculus	H5, TSV	no	no	no
GSE147191	Mus musculus	TSV	yes	no	yes
GSE147182	Mus musculus	CSV, HTML, MTX, TSV, XLSX	no	no	no
GSE142465	Homo sapiens; Mus musculus	H5, MTX, TSV, TXT	no	no	no
GSE147100	Mus musculus	TXT	no	no	no
GSE143988	Mus musculus	CSV, TXT	no	no	no
GSE147075	Mus musculus	TXT	no	no	no
GSE146972	Mus musculus	H5	no	no	no
GSE142471	Mus musculus	MTX, TSV	no	no	no
GSE123941	Mus musculus	TXT	no	no	no
GSE146983	Mus musculus	TSV, XLS	no	no	no
GSE145708	Mus musculus	MTX, TSV	no	no	no
GSE135710	Mus musculus; Homo sapiens	MTX, TSV	no	no	no
GSE133054	Mus musculus; Homo sapiens	CSV	no	no	no
GSE118194	Mus musculus	CSV, XLSX	no	no	no
GSE107153	Mus musculus	TXT, XLSX	no	no	no
GSE107152	Mus musculus	TXT, XLSX	no	no	no
GSE146793	Mus musculus	NARROWPEAK	no	no	no
GSE135382	Mus musculus	TXT	yes	no	yes
GSE142768	Mus musculus	MTX, TSV	no	no	no
GSE146683	Mus musculus	none	no	no	no
GSE146682	Mus musculus	MTX, TSV	no	no	no
