id	year	usable	usable2
GSE107740	2017	no	no
GSE107747	2017	no	no
GSE107761	2017	no	no
GSE107771	2017	no	no
GSE107794	2017	no	no
GSE107864	2017	no	no
GSE107873	2017	no	no
GSE107874	2017	no	no
GSE107909	2017	no	no
GSE107910	2017	no	no
GSE107947	2017	no	no
GSE108020	2017	no	no
GSE108041	2017	no	no
GSE108067	2017	no	no
GSE108097	2017	no	no
GSE108108	2017	no	no
GSE108129	2017	no	no
GSE108155	2017	no	no
GSE108222	2017	no	no
GSE108230	2017	no	no
GSE108233	2017	no	no
GSE108261	2017	no	no
GSE108275	2017	no	no
GSE108287	2017	no	no
GSE108288	2017	no	no
GSE108291	2017	no	no
GSE108313	2017	no	no
GSE108359	2017	no	no
GSE108378	2017	no	no
GSE108397	2017	no	no
GSE108416	2017	no	no
GSE108427	2017	no	no
GSE108443	2017	no	no
GSE108444	2017	no	no
GSE108463	2017	no	no
GSE108478	2017	no	no
GSE108546	2017	no	no
GSE108556	2017	no	no
GSE108561	2017	no	no
GSE108571	2017	no	no
GSE108578	2017	no	no
GSE108612	2017	no	no
GSE108653	2018	no	no
GSE108677	2018	no	no
GSE108679	2018	no	no
GSE108699	2018	yes	meta
GSE108709	2018	no	no
GSE108761	2018	no	no
GSE108775	2018	no	no
GSE108788	2018	no	no
GSE108811	2018	no	no
GSE108849	2018	no	no
GSE108891	2018	yes	meta
GSE108963	2018	no	no
GSE108970	2018	no	no
GSE108974	2018	no	no
GSE108977	2018	no	no
GSE109033	2018	no	no
GSE109037	2018	no	no
GSE109049	2018	no	no
GSE109071	2018	no	no
GSE109085	2018	no	no
GSE109100	2018	no	no
GSE109113	2018	no	no
GSE109205	2018	no	no
GSE109247	2018	no	no
GSE109262	2018	no	no
GSE109281	2018	no	no
GSE109308	2018	no	no
GSE109324	2018	no	no
GSE109444	2018	no	no
GSE109447	2018	no	no
GSE109449	2018	yes	meta
GSE109488	2018	no	no
GSE109524	2018	no	no
GSE109535	2018	no	no
GSE109542	2018	yes	meta
GSE109555	2018	no	no
GSE109556	2018	no	no
GSE109564	2018	no	no
GSE109706	2018	no	no
GSE109707	2018	no	no
GSE109718	2018	no	no
GSE109742	2018	yes	meta
GSE109761	2018	yes	object
GSE109774	2018	no	no
GSE109796	2018	no	no
GSE109816	2018	yes	meta
GSE109822	2018	no	no
GSE109881	2018	no	no
GSE109984	2018	no	no
GSE109989	2018	no	no
GSE109990	2018	no	no
GSE109999	2018	no	no
GSE110010	2018	no	no
